database_name,table_name,Column Description,Column Name,Column Type,Constraint,Default Value,Index,Nullable
i2oretail_dev,agency,,subscription_end_date,date,,,No,Yes
i2oretail_dev,agency,,agency_banner_logo_name,varchar(200),,,No,Yes
i2oretail_dev,agency_session_details,,i2o_id,varchar(100),PRIMARY KEY,,Yes,No
i2oretail_dev,agency_session_details,,agency_org_id,int4(32),,,No,No
i2oretail_dev,agency_session_details,,user_email_id,varchar(100),,,No,No
i2oretail_dev,agency_session_details,,agency_access_token,varchar(1000),,,No,No
i2oretail_dev,agency_session_details,,token_expiry_time,timestamp,,,No,Yes
i2oretail_dev,ai_tokens_per_author,,id,int4(32),PRIMARY KEY,nextval('i2oretail_dev.ai_tokens_per_author_id_seq'::regclass),Yes,No
i2oretail_dev,ai_tokens_per_author,,project_name,varchar(255),UNIQUE,,Yes,No
i2oretail_dev,ai_tokens_per_author,,file_path,text,UNIQUE,,Yes,No
i2oretail_dev,ai_tokens_per_author,,author,varchar(255),UNIQUE,,Yes,No
i2oretail_dev,ai_tokens_per_author,,tokens,int4(32),,,No,No
i2oretail_dev,ai_tokens_per_author,,run_date,date,UNIQUE,,Yes,No
i2oretail_dev,all_sub_categories,,sub_category,varchar(250),,,No,Yes
i2oretail_dev,all_sub_categories,,org_id_dp,int4(32),,,No,Yes
i2oretail_dev,all_sub_categories,,org_name,varchar(100),,,No,Yes
i2oretail_dev,all_sub_categories_bak,,subcategories,varchar(500),,,No,Yes
i2oretail_dev,app_user_tracking,,app_user_tracking_id,int4(32),PRIMARY KEY,nextval('i2oretail_dev.app_user_tracking_app_user_tracking_id_seq'::regclass),Yes,No
i2oretail_dev,app_user_tracking,,email_id,varchar(255),,,No,Yes
i2oretail_dev,app_user_tracking,,page_url,varchar(300),,,No,Yes
i2oretail_dev,app_user_tracking,,tab_name,varchar(100),,,No,Yes
i2oretail_dev,app_user_tracking,,tab_index,varchar(50),,,No,Yes
i2oretail_dev,app_user_tracking,,landing_time,varchar(255),,,No,Yes
i2oretail_dev,app_user_tracking,,session_duration,varchar(255),,,No,Yes
i2oretail_dev,app_user_tracking,,exit_time,varchar(255),,,No,Yes
i2oretail_dev,app_user_tracking,,tab_id,varchar(255),,,No,Yes
i2oretail_dev,application_properties,,module,varchar(100),,,No,Yes
i2oretail_dev,application_properties,,property,varchar(100),PRIMARY KEY,,Yes,No
i2oretail_dev,application_properties,,value,varchar(60000),,,No,Yes
i2oretail_dev,application_properties,,default_value,varchar(200),,,No,Yes
i2oretail_dev,application_properties,,org_id,int4(32),PRIMARY KEY,,Yes,No
i2oretail_dev,atf_standard,,asin,text,,,No,Yes
i2oretail_dev,atf_standard,,image_url,text,,,No,Yes
i2oretail_dev,atf_standard,,region_name,text,,,No,Yes
i2oretail_dev,atf_standard,,region_code,text,,,No,Yes
i2oretail_dev,atf_standard,,product_code,text,,,No,Yes
i2oretail_dev,atf_standard,,product_name,text,,,No,Yes
i2oretail_dev,atf_standard,,product_title,text,,,No,Yes
i2oretail_dev,atf_standard,,ean,text,,,No,Yes
i2oretail_dev,atf_standard,,bullet_points,text,,,No,Yes
i2oretail_dev,atf_standard,,period,date,,,No,Yes
i2oretail_dev,atf_standard,,platform,text,,,No,Yes
i2oretail_dev,atf_standard,,org_id,int4(32),,,No,Yes
i2oretail_dev,atf_standard,,searchkeywords,text,,,No,Yes
i2oretail_dev,atf_standard,,boxtitle,text,,,No,Yes
i2oretail_dev,atf_standard,,category_name,text,,,No,Yes
i2oretail_dev,atf_standard,,updated_at,timestamptz,,now(),No,Yes
i2oretail_dev,atf_standard,,file_type,text,,,No,Yes
i2oretail_dev,atf_standard,,created_at,timestamptz,,now(),No,Yes
i2oretail_dev,atf_standard,,long_description,text,,,No,Yes
i2oretail_dev,atf_standard,,id,int4(32),PRIMARY KEY,nextval('i2oretail_dev.atf_standard_id_seq'::regclass),Yes,No
i2oretail_dev,attachment,,id,int8(64),,nextval('i2oretail_dev.attachment_id_seq'::regclass),No,No
i2oretail_dev,attachment,,entity_id,int4(32),,,No,Yes
i2oretail_dev,attachment,,entity,text,,,No,Yes
i2oretail_dev,attachment,,filename,text,,,No,No
i2oretail_dev,attachment,,mime_type,text,,,No,Yes
i2oretail_dev,attachment,,size_bytes,int8(64),,,No,Yes
i2oretail_dev,attachment,,url,text,,,No,Yes
i2oretail_dev,attachment,,raw_data,text,,,No,Yes
i2oretail_dev,attachment,,notice_type,text,,,No,Yes
i2oretail_dev,attachment,,metadata,jsonb,,,No,Yes
i2oretail_dev,attachment,,uploaded_by,text,,,No,Yes
i2oretail_dev,attachment,,created_at,timestamptz,,now(),No,No
i2oretail_dev,attachment,,updated_at,timestamptz,,now(),No,No
i2oretail_dev,audit,,entity,varchar(50),,,No,No
i2oretail_dev,audit,,action,varchar(50),,,No,No
i2oretail_dev,audit,,description,varchar(150),,,No,Yes
i2oretail_dev,audit,,modifier,varchar(50),,,No,No
i2oretail_dev,audit,,modification_date,timestamp,,,No,Yes
i2oretail_dev,audit,,row_data,json,,,No,Yes
i2oretail_dev,audit,,pk_modified,varchar(200),,,No,Yes
i2oretail_dev,audit_group,,id,int4(32),PRIMARY KEY,nextval('i2oretail_dev.audit_group_id_seq'::regclass),Yes,No
i2oretail_dev,audit_group,,createdby,varchar(255),,,No,Yes
i2oretail_dev,audit_group,,createdon,timestamp,,,No,Yes
i2oretail_dev,audit_group,,org_id,int4(32),FOREIGN KEY,,No,Yes
i2oretail_dev,audit_group,,processid,int4(32),,,No,Yes
i2oretail_dev,audit_object,,id,int4(32),PRIMARY KEY,nextval('i2oretail_dev.audit_object_id_seq'::regclass),Yes,No
i2oretail_dev,audit_object,,table_name,varchar(255),,,No,Yes
i2oretail_dev,audit_object,,column_name,varchar(255),,,No,Yes
i2oretail_dev,audit_object,,created_by,varchar(255),,,No,Yes
i2oretail_dev,audit_object,,created_on,timestamp,,,No,Yes
i2oretail_dev,audit_object,,is_deleted,bool,,,No,Yes
i2oretail_dev,audit_object,,new_value,text,,,No,Yes
i2oretail_dev,audit_object,,old_value,text,,,No,Yes
i2oretail_dev,audit_object,,resource_id,int4(32),,,No,Yes
i2oretail_dev,audit_object,,auditgroup_id,int4(32),FOREIGN KEY,,No,Yes
i2oretail_dev,audit_object,,update_process,varchar(255),,,No,Yes
i2oretail_dev,basic_standard,,asin,varchar(20),,,No,No
i2oretail_dev,basic_standard,,image_url,text,,,No,Yes
i2oretail_dev,basic_standard,,region_name,varchar(100),,,No,Yes
i2oretail_dev,basic_standard,,region_code,varchar(10),,,No,Yes
i2oretail_dev,basic_standard,,product_code,varchar(50),,,No,Yes
i2oretail_dev,basic_standard,,product_name,text,,,No,Yes
i2oretail_dev,basic_standard,,product_title,text,,,No,Yes
i2oretail_dev,basic_standard,,ean,varchar(20),,,No,Yes
i2oretail_dev,basic_standard,,bullet_points,text,,,No,Yes
i2oretail_dev,basic_standard,,period,date,,,No,Yes
